Office,"Name (Last, First)",Operational Cost,Programs/ Events Cost,Total
Office of Administration,NA,"$75,125.00","$1,500.00","$76,625.00"
Office of President,"Morrow, William",$500.00,"$3,500.00","$4,000.00"
Office of EVP,"Lau, Alicia","$1,500.00","$3,500.00","$5,000.00"
Office of EAVP,"Luu, Andre","$8,000.00","$99,000.00","$107,000.00"
Office of AAVP,"McGinley, Frances","$2,750.00","$1,750.00","$4,500.00"
Office of Student Advocate,"Lao, Selina","$1,776.80","$1,701.00","$3,447.80"
Office of CAO,"Chen, Kenny",$250.00,$0.00,$250.00
Office of CCO,"Brosseau, Courtney","$4,651.65","$2,500.00","$7,151.65"
Office of CFO,"Cho, Paul S.","$26,550.00",$250.00,"$26,800.00"
Office of CTO,"Jain, Apollo","$5,120.00",$0.00,"$5,120.00"
Senator Alaa Aissi,"Aissi, Alaa",$500.00,$0.00,$500.00
Senator Alyssa Liu,"Liu, Alyssa",$80.00,$380.00,$460.00
Senator Andrew-Ian Bullitt,"Bullitt, Andrew-Ian",$0.00,"$1,735.00","$1,735.00"
Senator Annie Tran,"Tran, Annie",$125.00,$375.00,$500.00
Senator Anthony Carrasco,"Carrasco, Anthony",$101.00,$416.10,$517.10
Senator Banyamin bin Mohd Yusof,"bin Mohd Yubin, Banyamin",$320.00,$200.00,$520.00
Senator Bianca Filart,"Filart, Bianca",$830.00,$350.00,"$1,180.00"
Senator Chris Yamas,"Yamas, Chris","$1,558.00",$130.00,"$1,668.00"
Senator Helen Yuan,"Yuan, Helen","$5,850.00","$1,650.00","$7,500.00"
Senator Jay Choi,"Choi, Jay",$330.00,$170.00,$500.00
Senator Jenny Kim,"Kim, Jenny",$450.00,"$1,200.00","$1,650.00"
Senator Marandah Field-Elliot,"Field-Elloit, Marandah",$130.00,$40.00,$170.00
Senator Miranda Hernandez,"Hernandez, Miranda","$2,103.00",$214.00,"$2,317.00"
Senator Monsoon Pabrai,"Pabrai, Monsoon",$100.00,$400.00,$500.00
Senator Nathan Kelleher,"Kelleher, Nathan",$80.00,$400.00,$480.00
Senator Rigel Robinson,"Robinson, Rigel",$50.00,$450.00,$500.00
Senator Rosa Kwak,"Kwak, Rosa",$0.00,$120.00,$120.00
Senator Wesley Wan,"Wan, Wesley",$60.00,"$55,000.00","$55,060.00"
Senator Xiao Li,"Li, Xiao",$250.00,"$5,596.00","$5,486.00"
Senator Zaynab AbdulQadir,"AbdulQadir, Zaynab",$78.00,$430.00,$508.00
